timestamp,Temperature (*C),Humidity (%)
4/12/2023 5:27,28.4,73.5
4/12/2023 5:28,28.4,73.5
4/12/2023 5:28,28.4,73.5
4/12/2023 5:29,28.4,73.5
4/12/2023 5:29,28.4,73.5
4/12/2023 5:30,28.4,73.5
4/12/2023 5:30,28.4,73.5
4/12/2023 5:31,28.4,73.5
4/12/2023 5:31,28.4,73.5
4/12/2023 5:32,28.4,73.5
4/12/2023 5:32,28.4,73.5
4/12/2023 5:33,28.4,73.5
4/12/2023 5:33,28.4,73.5
4/12/2023 5:34,28.4,73.5
4/12/2023 5:34,28.4,73.5
4/12/2023 5:35,28.4,73.5
4/12/2023 5:35,28.4,73.5
4/12/2023 5:35,28.4,73.5
4/12/2023 5:36,28.4,73.5
4/12/2023 5:36,28.4,73.5
4/12/2023 5:37,28.4,73.5
4/12/2023 5:37,28.4,73.5
4/12/2023 5:38,28.5,69.7
4/12/2023 5:38,28.4,69.4
4/12/2023 5:39,28.4,69.4
4/12/2023 5:39,28.4,69.8
4/12/2023 5:40,28.4,69.8
4/12/2023 5:40,28.5,69.7
4/12/2023 5:41,28.5,69.7
4/12/2023 5:41,28.5,70
4/12/2023 5:42,28.5,70
4/12/2023 5:42,28.5,69.5
4/12/2023 5:43,28.5,69.5
4/12/2023 5:43,28.5,69.7
4/12/2023 5:44,28.5,69.7
4/12/2023 5:44,28.5,69.7
4/12/2023 5:45,28.5,69.7
4/12/2023 5:45,28.5,69.7
4/12/2023 5:46,28.5,69.7
4/12/2023 5:46,28.5,69.7
4/12/2023 5:47,28.5,69.7
4/12/2023 5:47,30.2,68.2
4/12/2023 5:48,30.2,68.2
4/12/2023 5:48,29.9,66.2
4/12/2023 5:49,29.5,66
4/12/2023 5:49,29.5,66
4/12/2023 5:49,29.3,66.5
4/12/2023 5:50,29.3,66.5
4/12/2023 5:50,29.3,66.5
4/12/2023 5:51,29.3,66.5
4/12/2023 5:51,29.3,66.5
4/12/2023 5:52,29.3,66.5
4/12/2023 5:52,29.3,66.5
4/12/2023 5:53,28.9,67.9
4/12/2023 5:53,28.9,67.9
4/12/2023 5:54,28.9,67.9
4/12/2023 5:54,28.9,67.9
4/12/2023 5:55,28.9,67.9
4/12/2023 5:55,28.9,67.9
4/12/2023 5:56,28.9,67.9
4/12/2023 5:56,28.9,67.9
4/12/2023 5:57,28.9,67.9
4/12/2023 5:57,28.9,67.9
4/12/2023 5:58,28.9,67.9
4/12/2023 5:58,28.9,68.1
4/12/2023 6:02,28.9,68.4
4/12/2023 6:03,28.9,68.4
4/12/2023 6:03,28.9,68.4
4/12/2023 6:04,28.9,68.3
4/12/2023 6:04,28.9,68.3
4/12/2023 6:05,28.9,68.3
4/12/2023 6:05,28.9,68.3
4/12/2023 6:06,28.9,67.9
4/12/2023 6:06,28.9,67.9
4/12/2023 6:07,28.9,67.5
4/12/2023 6:07,28.9,67.5
4/12/2023 6:08,28.9,67.7
4/12/2023 6:08,28.9,67.7
4/12/2023 6:09,28.9,68.2
4/12/2023 6:09,28.9,68.2
4/12/2023 6:10,28.9,68.1
4/12/2023 6:15,28.9,68.6
4/12/2023 6:15,28.9,68.6
4/12/2023 6:16,28.9,68.6
4/12/2023 6:16,28.9,68.6
4/12/2023 6:17,28.9,68.6
4/12/2023 6:17,29,68.5
4/12/2023 6:18,29,68.5
4/12/2023 6:18,29,68.7
4/12/2023 6:19,29,68.7
4/12/2023 6:19,29,68.6
4/12/2023 6:20,29,68.6
4/12/2023 6:20,29,68.6
4/12/2023 6:21,29,68.3
4/12/2023 6:21,29,68.3
4/12/2023 6:22,29,68.3
4/12/2023 6:22,29,68.3
4/12/2023 6:23,29,68.1
4/12/2023 6:23,29,68.1
4/12/2023 6:24,29,68.2
4/12/2023 6:24,29,68.2
4/12/2023 6:25,29,68.2
4/12/2023 6:25,29,68.2
4/12/2023 6:26,29,68.2
4/12/2023 6:26,29,68.2
4/12/2023 6:26,29,68.2
4/12/2023 6:27,29,68.2
4/12/2023 6:27,29.1,68.5
4/12/2023 6:28,29.1,68.5
4/12/2023 6:28,29.1,68.8
4/12/2023 6:29,29.1,68.8
4/12/2023 6:29,29.1,68.8
4/12/2023 6:30,29.1,68.8
4/12/2023 6:30,29.1,68.8
4/12/2023 6:31,29.1,68.8
4/12/2023 6:31,29.1,68.8
4/12/2023 6:32,29.1,69
4/12/2023 6:32,29.1,69
4/12/2023 6:33,29.1,69.1
4/12/2023 6:33,29.1,69.1
4/12/2023 6:34,29.1,69.1
4/12/2023 6:34,29.1,69.1
4/12/2023 6:35,29.1,69.1
4/12/2023 6:35,29.1,69.1
4/12/2023 6:36,29.1,69.2
4/12/2023 6:36,29.1,69.2
4/12/2023 6:37,29.1,69.2
4/12/2023 6:37,29.2,68.5
4/12/2023 6:38,29.2,68.5
4/12/2023 6:38,29.1,68.1
4/12/2023 6:39,29.1,68.1
4/12/2023 6:39,29.1,68.1
4/12/2023 6:40,29.1,67.7
4/12/2023 6:40,29.1,67.7
4/12/2023 6:41,29.2,67.6
4/12/2023 6:41,29.2,67.6
4/12/2023 6:42,29.2,67.6
4/12/2023 6:42,29.2,67.6
4/12/2023 6:43,29.2,68.2
4/12/2023 6:43,29.2,68.2
4/12/2023 6:44,29.2,67.8
4/12/2023 6:44,29.2,67.8
4/12/2023 6:45,29.1,67.4
4/12/2023 6:45,29.1,67.4
4/12/2023 6:46,29.1,67.5
4/12/2023 6:46,29.1,67.5
4/12/2023 6:47,29.1,68.2
4/12/2023 6:47,29.1,68.2
4/12/2023 6:48,29.1,68.2
4/12/2023 6:48,29.1,68.2
4/12/2023 6:49,29.1,68.2
4/12/2023 6:49,29.1,68.2
4/12/2023 6:50,29.2,68.8
4/12/2023 6:50,29.2,68.8
4/12/2023 6:51,29.2,68.8
4/12/2023 6:51,29.2,68.8
4/12/2023 6:52,29.2,68.8
4/12/2023 6:52,29.2,69.3
4/12/2023 6:53,29.2,69.3
4/12/2023 6:53,29.2,69.3
4/12/2023 6:54,29.2,69.4
4/12/2023 6:54,29.2,69.4
4/12/2023 6:55,29.2,69.2
4/12/2023 6:55,29.2,69.2
4/12/2023 6:56,29.2,69.4
4/12/2023 6:56,29.2,69.4
4/12/2023 6:57,29.2,69.4
4/12/2023 6:57,29.2,69.4
4/12/2023 6:58,29.2,69.4
4/12/2023 6:58,29.2,69.4
4/12/2023 6:59,29.2,69.4
4/12/2023 6:59,29.2,69.4
4/12/2023 7:00,29.2,69.4
4/12/2023 7:00,29.2,69.4
4/12/2023 7:00,29.2,69.4
4/12/2023 7:01,29.2,69.4
4/12/2023 7:01,29.2,69.4
4/12/2023 7:02,29.2,69.4
4/12/2023 7:02,29.2,69.4
4/12/2023 7:03,29.2,69.4
4/12/2023 7:03,29.2,69.4
4/12/2023 7:04,29.2,69.4
4/12/2023 7:04,29.2,69.4
4/12/2023 7:05,29.2,69.4
4/12/2023 7:05,29.2,69.4
4/12/2023 7:06,29.2,69.4
4/12/2023 7:06,29.3,70.5
4/12/2023 7:07,29.3,70.5
4/12/2023 7:07,29.3,70.6
4/12/2023 7:08,29.3,70.6
4/12/2023 7:08,29.3,70.6
4/12/2023 7:09,29.3,70.6
4/12/2023 7:09,29.3,70.7
4/12/2023 7:10,29.3,70.7
4/12/2023 7:10,29.3,70.8
4/12/2023 7:11,29.3,70.8
4/12/2023 7:11,29.3,70.8
4/12/2023 7:12,29.3,70.8
4/12/2023 7:12,29.3,70.9
4/12/2023 7:13,29.3,70.9
4/12/2023 7:13,29.3,70.8
4/12/2023 7:14,29.3,70.8
4/12/2023 7:14,29.3,70.8
4/12/2023 7:15,29.3,70.8
4/12/2023 7:15,29.3,70.8
4/12/2023 7:16,29.3,70.8
4/12/2023 7:16,29.3,71
4/12/2023 7:17,29.3,71
4/12/2023 7:17,29.3,71.5
4/12/2023 7:18,29.3,71.5
4/12/2023 7:18,29.3,71.5
4/12/2023 7:19,29.3,71.5
4/12/2023 7:19,29.3,71.5
4/12/2023 7:19,29.3,71.5
4/12/2023 7:20,29.4,70.8
4/12/2023 7:20,29.4,70.8
4/12/2023 7:21,29.4,70.8
4/12/2023 7:21,29.4,70.8
4/12/2023 7:22,29.5,71
4/12/2023 7:22,29.5,71
4/12/2023 7:23,29.5,71
4/12/2023 7:23,29.5,71
4/12/2023 7:24,29.5,71
4/12/2023 7:24,29.5,71
4/12/2023 7:25,29.5,71
4/12/2023 7:25,29.5,71
4/12/2023 7:26,29.5,71
4/12/2023 7:26,29.5,71
4/12/2023 7:27,29.5,71
4/12/2023 7:27,29.5,71
4/12/2023 7:28,29.5,71
4/12/2023 7:28,29.5,71
4/12/2023 7:30,29.6,71.3
4/12/2023 7:30,29.6,71.3
4/12/2023 7:31,29.6,71.5
4/12/2023 7:31,29.6,71.5
4/12/2023 7:32,29.6,71.5
4/12/2023 7:32,29.6,71.4
4/12/2023 7:33,29.6,71.4
4/12/2023 7:33,29.6,71.6
4/12/2023 7:34,29.6,71.6
4/12/2023 7:34,29.6,71.1
4/12/2023 7:35,29.6,71.1
4/12/2023 7:35,29.6,71
4/12/2023 7:36,29.6,71
4/12/2023 7:36,29.6,71
4/12/2023 7:37,29.6,71
4/12/2023 7:37,29.6,71
4/12/2023 7:41,29.6,71.2
4/12/2023 7:41,29.6,71.2
4/12/2023 7:42,29.5,71.4
4/12/2023 7:42,29.5,71.4
4/12/2023 7:43,29.6,71.6
4/12/2023 7:43,29.6,71.6
4/12/2023 7:44,29.6,71.6
4/12/2023 7:44,29.5,71.4
4/12/2023 7:45,29.5,71.4
4/12/2023 7:45,29.5,71.2
4/12/2023 7:46,29.5,71.2
4/12/2023 7:46,29.5,71.4
4/12/2023 7:47,29.5,71.4
4/12/2023 7:47,29.5,71.6
4/12/2023 7:48,29.5,71.6
4/12/2023 7:48,29.6,71.5
4/12/2023 7:49,29.6,71.5
4/12/2023 7:49,29.6,71.3
4/12/2023 7:50,29.6,71.3
4/12/2023 7:50,29.7,71.3
